301,Coil 1 nmr spectrum,PAS_C1_V170,double,10,,,,,,1
302,Coil 1 nmr spectrum,PAS_C1_V171,double,10,,,,,,1
303,Coil 1 nmr spectrum,PAS_C1_V172,double,10,,,,,,1
304,Coil 1 nmr spectrum,PAS_C1_V173,double,10,,,,,,1
305,Coil 1 nmr spectrum,PAS_C1_V174,double,10,,,,,,1
306,Coil 1 nmr spectrum,PAS_C1_V175,double,10,,,,,,1
307,Coil 1 nmr spectrum,PAS_C1_V176,double,10,,,,,,1
308,Coil 1 nmr spectrum,PAS_C1_V177,double,10,,,,,,1
309,Coil 1 nmr spectrum,PAS_C1_V178,double,10,,,,,,1
310,Coil 1 nmr spectrum,PAS_C1_V179,double,10,,,,,,1
311,Coil 1 nmr spectrum,PAS_C1_V180,double,10,,,,,,1
312,Coil 1 nmr spectrum,PAS_C1_V181,double,10,,,,,,1
313,Coil 1 nmr spectrum,PAS_C1_V182,double,10,,,,,,1
314,Coil 1 nmr spectrum,PAS_C1_V183,double,10,,,,,,1
315,Coil 1 nmr spectrum,PAS_C1_V184,double,10,,,,,,1
316,Coil 1 nmr spectrum,PAS_C1_V185,double,10,,,,,,1
317,Coil 1 nmr spectrum,PAS_C1_V186,double,10,,,,,,1
318,Coil 1 nmr spectrum,PAS_C1_V187,double,10,,,,,,1
319,Coil 1 nmr spectrum,PAS_C1_V188,double,10,,,,,,1
320,Coil 1 nmr spectrum,PAS_C1_V189,double,10,,,,,,1
321,Coil 1 nmr spectrum,PAS_C1_V190,double,10,,,,,,1
322,Coil 1 nmr spectrum,PAS_C1_V191,double,10,,,,,,1
323,Coil 1 nmr spectrum,PAS_C1_V192,double,10,,,,,,1
324,Coil 1 nmr spectrum,PAS_C1_V193,double,10,,,,,,1
325,Coil 1 nmr spectrum,PAS_C1_V194,double,10,,,,,,1
326,Coil 1 nmr spectrum,PAS_C1_V195,double,10,,,,,,1
327,Coil 1 nmr spectrum,PAS_C1_V196,double,10,,,,,,1
328,Coil 1 nmr spectrum,PAS_C1_V197,double,10,,,,,,1
329,Coil 1 nmr spectrum,PAS_C1_V198,double,10,,,,,,1
330,Coil 1 nmr spectrum,PAS_C1_V199,double,10,,,,,,1
331,Coil 1 nmr spectrum,PAS_C1_V200,double,10,,,,,,1
332,Coil 1 nmr spectrum,PAS_C1_V201,double,10,,,,,,1
333,Coil 1 nmr spectrum,PAS_C1_V202,double,10,,,,,,1
334,Coil 1 nmr spectrum,PAS_C1_V203,double,10,,,,,,1
335,Coil 1 nmr spectrum,PAS_C1_V204,double,10,,,,,,1
336,Coil 1 nmr spectrum,PAS_C1_V205,double,10,,,,,,1
337,Coil 1 nmr spectrum,PAS_C1_V206,double,10,,,,,,1
338,Coil 1 nmr spectrum,PAS_C1_V207,double,10,,,,,,1
339,Coil 1 nmr spectrum,PAS_C1_V208,double,10,,,,,,1
340,Coil 1 nmr spectrum,PAS_C1_V209,double,10,,,,,,1
341,Coil 1 nmr spectrum,PAS_C1_V210,double,10,,,,,,1
342,Coil 1 nmr spectrum,PAS_C1_V211,double,10,,,,,,1
343,Coil 1 nmr spectrum,PAS_C1_V212,double,10,,,,,,1
344,Coil 1 nmr spectrum,PAS_C1_V213,double,10,,,,,,1
345,Coil 1 nmr spectrum,PAS_C1_V214,double,10,,,,,,1
346,Coil 1 nmr spectrum,PAS_C1_V215,double,10,,,,,,1
347,Coil 1 nmr spectrum,PAS_C1_V216,double,10,,,,,,1
348,Coil 1 nmr spectrum,PAS_C1_V217,double,10,,,,,,1
349,Coil 1 nmr spectrum,PAS_C1_V218,double,10,,,,,,1
350,Coil 1 nmr spectrum,PAS_C1_V219,double,10,,,,,,1
351,Coil 1 nmr spectrum,PAS_C1_V220,double,10,,,,,,1
352,Coil 1 nmr spectrum,PAS_C1_V221,double,10,,,,,,1
353,Coil 1 nmr spectrum,PAS_C1_V222,double,10,,,,,,1
354,Coil 1 nmr spectrum,PAS_C1_V223,double,10,,,,,,1
355,Coil 1 nmr spectrum,PAS_C1_V224,double,10,,,,,,1
356,Coil 1 nmr spectrum,PAS_C1_V225,double,10,,,,,,1
357,Coil 1 nmr spectrum,PAS_C1_V226,double,10,,,,,,1
358,Coil 1 nmr spectrum,PAS_C1_V227,double,10,,,,,,1
359,Coil 1 nmr spectrum,PAS_C1_V228,double,10,,,,,,1
360,Coil 1 nmr spectrum,PAS_C1_V229,double,10,,,,,,1
361,Coil 1 nmr spectrum,PAS_C1_V230,double,10,,,,,,1
362,Coil 1 nmr spectrum,PAS_C1_V231,double,10,,,,,,1
363,Coil 1 nmr spectrum,PAS_C1_V232,double,10,,,,,,1
364,Coil 1 nmr spectrum,PAS_C1_V233,double,10,,,,,,1
365,Coil 1 nmr spectrum,PAS_C1_V234,double,10,,,,,,1
366,Coil 1 nmr spectrum,PAS_C1_V235,double,10,,,,,,1
367,Coil 1 nmr spectrum,PAS_C1_V236,double,10,,,,,,1
368,Coil 1 nmr spectrum,PAS_C1_V237,double,10,,,,,,1
369,Coil 1 nmr spectrum,PAS_C1_V238,double,10,,,,,,1
370,Coil 1 nmr spectrum,PAS_C1_V239,double,10,,,,,,1
371,Coil 1 nmr spectrum,PAS_C1_V240,double,10,,,,,,1
372,Coil 1 nmr spectrum,PAS_C1_V241,double,10,,,,,,1
373,Coil 1 nmr spectrum,PAS_C1_V242,double,10,,,,,,1
374,Coil 1 nmr spectrum,PAS_C1_V243,double,10,,,,,,1
375,Coil 1 nmr spectrum,PAS_C1_V244,double,10,,,,,,1
376,Coil 1 nmr spectrum,PAS_C1_V245,double,10,,,,,,1
377,Coil 1 nmr spectrum,PAS_C1_V246,double,10,,,,,,1
378,Coil 1 nmr spectrum,PAS_C1_V247,double,10,,,,,,1
379,Coil 1 nmr spectrum,PAS_C1_V248,double,10,,,,,,1
380,Coil 1 nmr spectrum,PAS_C1_V249,double,10,,,,,,1
381,Coil 1 nmr spectrum,PAS_C1_V250,double,10,,,,,,1
